target		A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
P07949_WT	Fold 3	44:137		0.5488240628666639	0.8397790055248618	0.7630225613802256	0.9124087591240876	0.6136363636363636	0.8802816901408451	0.6923076923076923	0.8960573476702509	0.1267418712674187	0.8732581287325814
P07949_WT	Fold 4	45:136		0.4998746037335668	0.8287292817679558	0.7150326797385621	0.9411764705882353	0.4888888888888889	0.847682119205298	0.7333333333333333	0.89198606271777	0.16764705882352943	0.8323529411764706
P07949_WT	Fold 5	45:136		0.5106960930078089	0.8342541436464088	0.7038398692810457	0.9632352941176471	0.4444444444444444	0.8397435897435898	0.8	0.8972602739726028	0.19787581699346407	0.802124183006536
P07949_WT	Mean	-		0.5357021880094257	0.8397790055248618	0.7376066265922427	0.9385465865178186	0.5366666666666667	0.8621157991704116	0.7444074844074844	0.8983992105771466	0.15369515246930449	0.8463048475306956
P07949_WT	SD	-		0.024833222387862484	0.007132566015114959	0.023696824700549124	0.01602128138013972	0.06168553251181787	0.015456576386045903	0.03326274348773871	0.004031154364905827	0.023829391338056567	0.023829391338056567
P07949_WT	Test set	230:231		0.08862982105222848	0.5357917570498916	0.5351308112177677	0.8398268398268398	0.23043478260869565	0.522911051212938	0.5888888888888889	0.6445182724252492	0.44219838132881606	0.5578016186711839
P07949_M918T		29:32	No test data for temporal split at 2013										
P07948_WT	Fold 1	30:118		0.5288756404858079	0.8513513513513513	0.7576271186440677	0.9152542372881356	0.6	0.9	0.6428571428571429	0.9075630252100839	0.13531073446327685	0.8646892655367231
P07948_WT	Fold 2	30:118		0.6187662148117683	0.8851351351351351	0.7788135593220339	0.9576271186440678	0.6	0.904	0.782608695652174	0.9300411522633746	0.07937853107344633	0.9206214689265536
P07948_WT	Fold 3	30:118		0.34041545556513697	0.8040540540540541	0.6533898305084747	0.9067796610169492	0.4	0.856	0.5217391304347826	0.8806584362139918	0.18785310734463279	0.8121468926553672
P07948_WT	Fold 4	29:118		0.6334772620850948	0.891156462585034	0.7891583869082408	0.9576271186440678	0.6206896551724138	0.9112903225806451	0.782608695652174	0.9338842975206612	0.09380479251899473	0.9061952074810052
P07948_WT	Fold 5	29:118		0.5153529611724949	0.8503401360544217	0.7507305669199298	0.9152542372881356	0.5862068965517241	0.9	0.6296296296296297	0.9075630252100839	0.1604324956165985	0.8395675043834014
P07948_WT	Mean	-		0.5273775068240606	0.8564074278359992	0.7459438924605493	0.9305084745762711	0.5613793103448276	0.8942580645161291	0.6718886588451806	0.9119419872836392	0.13135593220338984	0.8686440677966101
P07948_WT	SD	-		0.09549057259546036	0.02839022210781945	0.0441089029944038	0.020409482336936086	0.07434214056944477	0.017863474225685332	0.09100493434768003	0.017445419344878227	0.03688892363026567	0.036888923630265656
P07948_WT	Test set	51:108		0.13335629600746446	0.6666666666666666	0.5528322440087146	0.8703703703703703	0.23529411764705882	0.706766917293233	0.46153846153846156	0.7800829875518671	0.4206608569353668	0.5793391430646333
P07947_WT	Fold 1	11:11		0.09090909090909091	0.5454545454545454	0.5454545454545454	0.5454545454545454	0.5454545454545454	0.5454545454545454	0.5454545454545454	0.5454545454545454	0.3057851239669422	0.6942148760330578
P07947_WT	Fold 2	12:10		0.45	0.7272727272727273	0.725	0.7	0.75	0.7	0.75	0.7	0.17500000000000002	0.825
P07947_WT	Fold 3	12:10		0.38821675738207223	0.6818181818181818	0.6916666666666667	0.8	0.5833333333333334	0.6153846153846154	0.7777777777777778	0.6956521739130435	0.2833333333333333	0.7166666666666667
P07947_WT	Fold 4	12:10		0.25877458475338283	0.6363636363636364	0.625	0.5	0.75	0.625	0.6428571428571429	0.5555555555555556	0.24166666666666667	0.7583333333333333
P07947_WT	Fold 5	11:10		0.5229577884350213	0.7619047619047619	0.759090909090909	0.7	0.8181818181818182	0.7777777777777778	0.75	0.7368421052631577	0.15454545454545454	0.8454545454545455
P07947_WT	Mean	-		0.3421716442959134	0.6705627705627706	0.6692424242424242	0.649090909090909	0.6893939393939394	0.6527233877233878	0.6932178932178932	0.6467008760372603	0.23206611570247934	0.7679338842975205
P07947_WT	SD	-		0.13935486890217644	0.06892956746393952	0.06948061500625026	0.10076839768723025	0.09652280229099189	0.07250638271737919	0.07954977634280316	0.07293919418192568	0.05388411149481242	0.053884111494812426
P07947_WT	Test set	88:270		0.17829071785248815	0.7011173184357542	0.5873737373737373	0.8111111111111111	0.36363636363636365	0.7963636363636364	0.3855421686746988	0.8036697247706421	0.3260942760942761	0.673905723905724
P07333_WT	Fold 1	61:174		0.6115678140658035	0.8595744680851064	0.7720934614659882	0.9540229885057471	0.5901639344262295	0.8691099476439791	0.8181818181818182	0.9095890410958903	0.0904465799886942	0.9095534200113059
P07333_WT	Fold 2	61:174		0.7121726022234784	0.8893617021276595	0.8560863011117392	0.9252873563218391	0.7868852459016393	0.9252873563218391	0.7868852459016393	0.9252873563218391	0.070944036178632	0.9290559638213679
P07333_WT	Fold 3	62:173		0.6656995071593512	0.8765957446808511	0.7971750885698303	0.9653179190751445	0.6290322580645161	0.8789473684210526	0.8666666666666667	0.9201101928374655	0.07113555845608799	0.9288644415439119
P07333_WT	Fold 4	62:173		0.7650520540515117	0.9106382978723404	0.8720399030393436	0.953757225433526	0.7903225806451613	0.9269662921348315	0.8596491228070176	0.9401709401709402	0.04764124557150849	0.9523587544284915
P07333_WT	Fold 5	61:173		0.7019788298389718	0.8888888888888888	0.8346441770112765	0.9479768786127167	0.7213114754098361	0.9060773480662984	0.8301886792452831	0.9265536723163841	0.0770397043494741	0.922960295650526
P07333_WT	Mean	-		0.6912941614678234	0.8850118203309691	0.8264077862396355	0.9492724735897948	0.7035430988894765	0.9012776625176002	0.832314306560485	0.9243422405485038	0.07144142490887936	0.9285585750911206
P07333_WT	SD	-		0.04655046534714318	0.015321872720912205	0.0337528738288819	0.012090637759523423	0.07438526675511538	0.021574722803085554	0.026442774361810847	0.009054451280479053	0.012644670409766407	0.012644670409766374
P07333_WT	Test set	405:180		0.31183915688129626	0.6188034188034188	0.6675925925925925	0.7944444444444444	0.5407407407407407	0.43465045592705165	0.85546875	0.5618860510805501	0.2540740740740741	0.7459259259259259
P07332_WT	Fold 1	5:90		0.4375949744936837	0.9578947368421052	0.6	1.0	0.2	0.9574468085106383	1.0	0.9782608695652174	0.15555555555555556	0.8444444444444444
P07332_WT	Fold 2	6:89		0.0	0.9368421052631579	0.5	1.0	0.0	0.9368421052631579	0.0	0.967391304347826	0.38014981273408244	0.6198501872659176
P07332_WT	Fold 3	6:89		0.3972422666833381	0.9473684210526315	0.5833333333333334	1.0	0.16666666666666666	0.9468085106382979	1.0	0.9726775956284154	0.3202247191011236	0.6797752808988764
P07332_WT	Fold 4	6:89		0.0	0.9368421052631579	0.5	1.0	0.0	0.9368421052631579	0.0	0.967391304347826	0.3033707865168539	0.6966292134831461
P07332_WT	Fold 5	5:89		0.4374903992802192	0.9574468085106383	0.6	1.0	0.2	0.956989247311828	1.0	0.978021978021978	0.14606741573033707	0.853932584269663
P07332_WT	Mean	-		0.2544655280914482	0.9472788353863381	0.5566666666666668	1.0	0.11333333333333333	0.946985755397416	0.6	0.9727486103822527	0.2610736579275905	0.7389263420724095
P07332_WT	SD	-		0.1901425363027745	0.008504349260768962	0.04260064336151292	0.0	0.08520128672302585	0.008319877548342363	0.447213595499958	0.004389379351574121	0.08546688583001015	0.08546688583001015
P07332_WT	Test set	12:24		-0.11952286093343938	0.6388888888888888	0.4791666666666667	0.9583333333333334	0.0	0.6571428571428571	0.0	0.7796610169491525	0.46875	0.53125
P06493_WT	Fold 1	35:165		0.39773970833722394	0.855	0.641991341991342	0.9696969696969697	0.3142857142857143	0.8695652173913043	0.6875	0.9169054441260746	0.178008658008658	0.821991341991342
P06493_WT	Fold 2	35:165		0.440960436874447	0.865	0.648051948051948	0.9818181818181818	0.3142857142857143	0.8709677419354839	0.7857142857142857	0.923076923076923	0.18043290043290042	0.8195670995670995
P06493_WT	Fold 3	36:164		0.4338819208827656	0.855	0.6731029810298103	0.9573170731707317	0.3888888888888889	0.8770949720670391	0.6666666666666666	0.9154518950437317	0.19292005420054203	0.807079945799458
P06493_WT	Fold 4	35:164		0.6575886433662621	0.9095477386934674	0.7653310104529616	0.9878048780487805	0.5428571428571428	0.9101123595505618	0.9047619047619048	0.9473684210526315	0.12229965156794426	0.8777003484320557
P06493_WT	Fold 5	35:164		0.5947869024720349	0.8944723618090452	0.7449477351916376	0.975609756097561	0.5142857142857142	0.903954802259887	0.8181818181818182	0.93841642228739	0.18815331010452963	0.8118466898954704
P06493_WT	Mean	-		0.5049915223865467	0.8758040201005025	0.6946850033435399	0.9744493717664451	0.41492063492063486	0.8863390186408552	0.7725649350649351	0.92824382111735	0.17236291486291488	0.8276370851370851
P06493_WT	SD	-		0.09310263026247796	0.02028746280195566	0.04642960264927492	0.009575283999570744	0.0886694191590986	0.01569807060062417	0.07977084959663504	0.011460956461530869	0.02336401069359333	0.023364010693593312
P06493_WT	Test set	112:94		0.0050920818383938015	0.46116504854368934	0.5010448328267477	0.9574468085106383	0.044642857142857144	0.45685279187817257	0.5555555555555556	0.6185567010309279	0.24895516717325228	0.7510448328267477
P06241_WT	Fold 1	24:165		0.36244121780453775	0.8888888888888888	0.615909090909091	0.9818181818181818	0.25	0.9	0.6666666666666666	0.9391304347826087	0.19570707070707072	0.8042929292929293
P06241_WT	Fold 2	24:165		0.256195947736032	0.8624338624338624	0.6007575757575758	0.9515151515151515	0.25	0.8971428571428571	0.42857142857142855	0.9235294117647059	0.2073232323232323	0.7926767676767676
P06241_WT	Fold 3	25:164		0.572712842531054	0.9153439153439153	0.6799999999999999	1.0	0.36	0.9111111111111111	1.0	0.9534883720930233	0.23170731707317072	0.7682926829268293
P06241_WT	Fold 4	25:164		0.2542140151101509	0.873015873015873	0.5708536585365853	0.9817073170731707	0.16	0.8846153846153846	0.5714285714285714	0.9306358381502889	0.1826829268292683	0.8173170731707318
P06241_WT	Fold 5	24:164		0.47212556798185173	0.9042553191489362	0.6427845528455285	0.9939024390243902	0.2916666666666667	0.9055555555555556	0.875	0.9476744186046511	0.15955284552845528	0.8404471544715447
P06241_WT	Mean	-		0.38353791823272526	0.8887875717662951	0.6220609756097562	0.9817886178861789	0.26233333333333336	0.8996849816849817	0.7083333333333333	0.9388916950790556	0.19539467849223946	0.8046053215077607
P06241_WT	SD	-		0.1132994879431991	0.017737743822696078	0.03391230615672501	0.015247345949542471	0.059407569040142175	0.008151425854812188	0.18779109426946652	0.009953350619111503	0.02201219861292436	0.02201219861292437
P06241_WT	Test set	41:117		0.02343455486934265	0.7341772151898734	0.5036481134042109	0.9829059829059829	0.024390243902439025	0.7419354838709677	0.3333333333333333	0.8455882352941178	0.36960600375234526	0.6303939962476548
P06213_WT	Fold 1	25:176		0.7091303130354821	0.9402985074626866	0.8286363636363636	0.9772727272727273	0.68	0.9555555555555556	0.8095238095238095	0.9662921348314608	0.06590909090909092	0.9340909090909091
P06213_WT	Fold 2	25:176		0.6805329255682795	0.9353233830845771	0.8086363636363636	0.9772727272727273	0.64	0.9502762430939227	0.8	0.9635854341736695	0.044772727272727283	0.9552272727272727
P06213_WT	Fold 3	24:176		0.7722878192350443	0.95	0.8996212121212122	0.9659090909090909	0.8333333333333334	0.9770114942528736	0.7692307692307693	0.9714285714285714	0.024147727272727272	0.9758522727272727
P06213_WT	Fold 4	24:176		0.6193788701812433	0.93	0.7263257575757576	0.9943181818181818	0.4583333333333333	0.9308510638297872	0.9166666666666666	0.9615384615384616	0.09919507575757577	0.9008049242424243
P06213_WT	Fold 5	25:175		0.6979723188970013	0.94	0.7942857142857143	0.9885714285714285	0.6	0.9453551912568307	0.8823529411764706	0.9664804469273743	0.07017142857142855	0.9298285714285714
P06213_WT	Mean	-		0.6958604493834101	0.9391243781094527	0.8115010822510824	0.9806688311688312	0.6423333333333334	0.951809909597794	0.8355548373195433	0.9658650097799075	0.06083920995670996	0.93916079004329
P06213_WT	SD	-		0.04491855051124241	0.006029459400903612	0.05101990885421239	0.009033943350292152	0.11071986673081256	0.013738258444343182	0.05018272321793359	0.003039459972340066	0.02305198185934693	0.023051981859346902
P06213_WT	Test set	95:130		0.09862413826124555	0.5911111111111111	0.5313765182186234	0.9153846153846154	0.14736842105263157	0.595	0.56	0.7212121212121212	0.34963562753036437	0.6503643724696357
P05129_WT		5:20	Not enough data in minority class of the training set for all 5 folds										
P05129_WT	Fold 1	12:163		0.4459192706287624	0.9428571428571428	0.6605316973415133	0.9877300613496932	0.3333333333333333	0.9526627218934911	0.6666666666666666	0.9698795180722891	0.08231083844580778	0.9176891615541923
P05129_WT	Fold 2	12:163		0.4202624173932999	0.9314285714285714	0.6929959100204499	0.9693251533742331	0.4166666666666667	0.9575757575757575	0.5	0.9634146341463414	0.09049079754601227	0.9095092024539877
P05129_WT	Fold 3	12:163		0.4459192706287624	0.9428571428571428	0.6605316973415133	0.9877300613496932	0.3333333333333333	0.9526627218934911	0.6666666666666666	0.9698795180722891	0.08077709611451943	0.9192229038854807
P05129_WT	Fold 4	12:163		0.49634778244248334	0.9485714285714286	0.66359918200409	0.9938650306748467	0.3333333333333333	0.9529411764705882	0.8	0.972972972972973	0.0572597137014315	0.9427402862985685
P05129_WT	Fold 5	12:163		0.6944411571256841	0.9657142857142857	0.75	1.0	0.5	0.9644970414201184	1.0	0.9819277108433735	0.07464212678936606	0.9253578732106339
P05129_WT	Mean	-		0.5005779796437985	0.9462857142857143	0.6855316973415133	0.9877300613496931	0.3833333333333333	0.9560678838506893	0.7266666666666666	0.9716148708214533	0.07709611451942741	0.9229038854805726
P05129_WT	SD	-		0.09131133977928625	0.010222025039999064	0.03147197628475465	0.009371320439582513	0.060858061945018464	0.004208937622316215	0.1520233900132184	0.0054994831670438895	0.010162556746097668	0.01016255674609767
P05129_WT	Test set	5:20		0.408248290463863	0.84	0.6	1.0	0.2	0.8333333333333334	1.0	0.9090909090909091	0.25	0.75
P04629_WT	Fold 1	31:181		0.7060849100364625	0.9245283018867925	0.8622348957405097	0.9502762430939227	0.7741935483870968	0.9608938547486033	0.7272727272727273	0.9555555555555556	0.06897166280520406	0.9310283371947959
P04629_WT	Fold 2	31:181		0.6671557739490288	0.9245283018867925	0.7820352878274818	0.9834254143646409	0.5806451612903226	0.9319371727748691	0.8571428571428571	0.956989247311828	0.07128854036713597	0.928711459632864
P04629_WT	Fold 3	31:181		0.6146982442381936	0.9150943396226415	0.7230440206736767	0.994475138121547	0.45161290322580644	0.9137055837563451	0.9333333333333333	0.9523809523809524	0.08848690073070753	0.9115130992692925
P04629_WT	Fold 4	31:181		0.6151419559994705	0.9150943396226415	0.7364106219925147	0.988950276243094	0.4838709677419355	0.9179487179487179	0.8823529411764706	0.952127659574468	0.12600249509891287	0.8739975049010872
P04629_WT	Fold 5	32:180		0.438810221029756	0.8773584905660378	0.6708333333333334	0.9666666666666667	0.375	0.8969072164948454	0.6666666666666666	0.93048128342246	0.16493055555555555	0.8350694444444444
P04629_WT	Mean	-		0.6083782210505823	0.911320754716981	0.7549116319135033	0.9767587476979743	0.5330645161290323	0.9242785091446762	0.813353705118411	0.9495069396490529	0.1039360309115032	0.8960639690884967
P04629_WT	SD	-		0.08350688118545171	0.015972861760000366	0.05870969252032491	0.01477679178079297	0.12546306873487445	0.01958051468284135	0.0912875654135687	0.008847545792552718	0.03350199540711133	0.03350199540711132
P04629_WT	Test set	117:136		0.11593695986295564	0.5533596837944664	0.5176910507792861	0.9926470588235294	0.042735042735042736	0.5465587044534413	0.8333333333333334	0.7049608355091384	0.3569004524886878	0.6430995475113122
P04049_WT	Fold 1	22:39		0.23203641081985196	0.6557377049180327	0.6118881118881119	0.7692307692307693	0.45454545454545453	0.7142857142857143	0.5263157894736842	0.7407407407407408	0.26573426573426573	0.7342657342657344
P04049_WT	Fold 2	23:38		0.16413740834774848	0.6229508196721312	0.5772311212814646	0.7631578947368421	0.391304347826087	0.6744186046511628	0.5	0.7160493827160495	0.3421052631578947	0.6578947368421052
P04049_WT	Fold 3	22:38		0.3248498301732168	0.6833333333333333	0.6638755980861244	0.7368421052631579	0.5909090909090909	0.7567567567567568	0.5652173913043478	0.7466666666666667	0.22248803827751198	0.777511961722488
P04049_WT	Fold 4	22:38		0.635850784457874	0.8333333333333334	0.8110047846889952	0.8947368421052632	0.7272727272727273	0.85	0.8	0.8717948717948718	0.1866028708133971	0.8133971291866029
P04049_WT	Fold 5	22:38		0.33207783609126584	0.7	0.6578947368421053	0.8157894736842105	0.5	0.7380952380952381	0.6111111111111112	0.775	0.2727272727272727	0.7272727272727273
P04049_WT	Mean	-		0.3377904539779914	0.6990710382513662	0.6643788705573602	0.7959514170040486	0.5328063241106719	0.7467112627577743	0.6005288583778285	0.7700503323836657	0.2579315421420684	0.7420684578579315
P04049_WT	SD	-		0.14741062391287932	0.06576088966985244	0.07290572213217426	0.050720521093321154	0.10678400423879052	0.05341871657262071	0.09726360323262909	0.049494782652912774	0.0477999873925485	0.047799987392548544
P04049_WT	Test set	134:162		0.15667978021637965	0.5878378378378378	0.5538050488299244	0.9135802469135802	0.19402985074626866	0.578125	0.65	0.708133971291866	0.4499723604201216	0.5500276395798784
P00519_F317I		1:0	Only one activity class in traing set for temporal split at 2013										
P00519_E255K		1:0	Only one activity class in traing set for temporal split at 2013										
O96017_WT	Fold 1	62:150		0.7903266487631831	0.9150943396226415	0.8737634408602151	0.9733333333333334	0.7741935483870968	0.9125	0.9230769230769231	0.9419354838709678	0.05306451612903226	0.9469354838709677
O96017_WT	Fold 2	63:149		0.7817248681746697	0.910377358490566	0.8812719718759987	0.9530201342281879	0.8095238095238095	0.922077922077922	0.8793103448275862	0.9372937293729373	0.06551613934164273	0.9344838606583573
O96017_WT	Fold 3	63:149		0.7689529222580369	0.9056603773584906	0.8687546607009694	0.959731543624161	0.7777777777777778	0.910828025477707	0.8909090909090909	0.934640522875817	0.06785980611483969	0.9321401938851605
O96017_WT	Fold 4	63:149		0.7107163619953265	0.8820754716981132	0.8428145307339938	0.9395973154362416	0.746031746031746	0.8974358974358975	0.8392857142857143	0.9180327868852459	0.060935336103121365	0.9390646638968787
O96017_WT	Fold 5	62:149		0.8137995248807508	0.9241706161137441	0.8898029876596666	0.9731543624161074	0.8064516129032258	0.9235668789808917	0.9259259259259259	0.9477124183006536	0.03334054990257631	0.9666594500974237
O96017_WT	Mean	-		0.7731040652143933	0.907475632656711	0.8712815183661687	0.9597673378076064	0.7827956989247312	0.9132817447944837	0.891701599805048	0.9359229882611244	0.056143269518242465	0.9438567304817574
O96017_WT	SD	-		0.03145503024431744	0.012868893437268165	0.014524509859194833	0.011659077309831027	0.021310243707277243	0.008572042366077214	0.02903248678602821	0.009117051040449325	0.011383720576639122	0.011383720576639094
O96017_WT	Test set	54:27		0.11543927413490253	0.43209876543209874	0.5462962962962963	0.8888888888888888	0.2037037037037037	0.3582089552238806	0.7857142857142857	0.5106382978723404	0.36488340192043894	0.6351165980795611
O96013_WT	Fold 1	15:207		0.567604082552539	0.954954954954955	0.6975845410628019	0.9951690821256038	0.4	0.958139534883721	0.8571428571428571	0.976303317535545	0.08856682769726246	0.9114331723027376
O96013_WT	Fold 2	15:207		0.6726152695785088	0.963963963963964	0.7642512077294685	0.9951690821256038	0.5333333333333333	0.9671361502347418	0.8888888888888888	0.9809523809523809	0.15909822866344606	0.840901771336554
O96013_WT	Fold 3	14:207		0.5280580849489206	0.9547511312217195	0.6761559696342305	0.9951690821256038	0.35714285714285715	0.958139534883721	0.8333333333333334	0.976303317535545	0.2422360248447205	0.7577639751552795
O96013_WT	Fold 4	14:207		0.7477329052723714	0.9728506787330317	0.8190131124913733	0.9951690821256038	0.6428571428571429	0.976303317535545	0.9	0.985645933014354	0.05279503105590061	0.9472049689440994
O96013_WT	Fold 5	14:207		0.4137575592156087	0.9457013574660633	0.6380262249827466	0.9903381642512077	0.2857142857142857	0.9534883720930233	0.6666666666666666	0.9715639810426541	0.1725327812284334	0.8274672187715667
O96013_WT	Mean	-		0.5859535803135898	0.9584444172679467	0.7190062111801242	0.9942028985507246	0.4438095238095238	0.9626413819261505	0.8292063492063493	0.9781537860160958	0.1430457786979526	0.8569542213020475
O96013_WT	SD	-		0.10569047615872493	0.008428207077994401	0.059021577040819534	0.0017640017955077893	0.11694653829571	0.0074292470382866386	0.07723381751692178	0.004363454232675669	0.06066166135606658	0.06066166135606659
O96013_WT	Test set	125:121		0.2423780908450357	0.5609756097560976	0.5677355371900826	0.9834710743801653	0.152	0.5288888888888889	0.9047619047619048	0.6878612716763005	0.3587438016528926	0.6412561983471075
O95835_WT		3:47	Not enough data in minority class of the training set for all 5 folds										
O95819_WT	Fold 1	41:170		0.4313357525325508	0.8483412322274881	0.656025824964132	0.9705882352941176	0.34146341463414637	0.859375	0.7368421052631579	0.9116022099447514	0.2116212338593974	0.7883787661406026
O95819_WT	Fold 2	40:170		0.41462428362148235	0.8476190476190476	0.6477941176470589	0.9705882352941176	0.325	0.859375	0.7222222222222222	0.9116022099447514	0.2373529411764706	0.7626470588235295
O95819_WT	Fold 3	40:170		0.5864293089497375	0.8857142857142857	0.7286764705882353	0.9823529411764705	0.475	0.8882978723404256	0.8636363636363636	0.9329608938547486	0.13029411764705884	0.8697058823529412
O95819_WT	Fold 4	41:169		0.5608575627939723	0.8761904761904762	0.7291095396161063	0.9704142011834319	0.4878048780487805	0.8864864864864865	0.8	0.9265536723163843	0.1519699812382739	0.8480300187617261
O95819_WT	Fold 5	41:169		0.40706820910966984	0.8428571428571429	0.6437436859575696	0.9704142011834319	0.3170731707317073	0.8541666666666666	0.7222222222222222	0.9085872576177285	0.2052244191080964	0.7947755808919036
O95819_WT	Mean	-		0.48006302340148255	0.860144436921688	0.6810699277546204	0.9728715628263138	0.38926829268292684	0.8695402050987158	0.7689845826687932	0.9182612487356728	0.18729253860585943	0.8127074613941406
O95819_WT	SD	-		0.07050574775718944	0.01584478935276904	0.03582811321192239	0.0043282205185889286	0.06914626976953883	0.013429041952324972	0.05054287176151168	0.008823411612076563	0.03632259330728991	0.03632259330728991
O95819_WT	Test set	78:170		-0.052800196083089904	0.6532258064516129	0.48687782805429863	0.9352941176470588	0.038461538461538464	0.6794871794871795	0.21428571428571427	0.7871287128712872	0.4815233785822021	0.5184766214177978
O94921_WT		6:46	No test data for temporal split at 2013										
O94806_WT	Fold 1	19:178		0.34028078334745965	0.9086294416243654	0.6203429923122412	0.9775280898876404	0.2631578947368421	0.925531914893617	0.5555555555555556	0.9508196721311475	0.20875221762270846	0.7912477823772915
O94806_WT	Fold 2	19:178		0.40172325472819814	0.9187817258883249	0.6259609698403311	0.9887640449438202	0.2631578947368421	0.9263157894736842	0.7142857142857143	0.9565217391304348	0.322294500295683	0.6777054997043169
O94806_WT	Fold 3	20:177		0.48022002659987106	0.9238578680203046	0.6471751412429378	0.9943502824858758	0.3	0.9263157894736842	0.8571428571428571	0.9591280653950954	0.18333333333333335	0.8166666666666668
O94806_WT	Fold 4	19:177		0.4938307750531947	0.9285714285714286	0.631578947368421	1.0	0.2631578947368421	0.9267015706806283	1.0	0.9619565217391305	0.1311329170383586	0.8688670829616415
O94806_WT	Fold 5	19:177		0.40155039234349643	0.9183673469387755	0.6259292298542968	0.9887005649717514	0.2631578947368421	0.9259259259259259	0.7142857142857143	0.9562841530054644	0.1641391614629795	0.8358608385370205
O94806_WT	Mean	-		0.42352104641444405	0.9196415622086398	0.6301974561236456	0.9898685964578176	0.2705263157894736	0.9261581980895078	0.7682539682539683	0.9569420302802545	0.20193042595061259	0.7980695740493874
O94806_WT	SD	-		0.051712388995103144	0.0060710994442115165	0.008400658095198835	0.006802000703184573	0.013452834745740924	0.00036311266868207674	0.13703601560363743	0.0033669122991176166	0.059610354285327675	0.059610354285327724
O94806_WT	Test set	10:52		-0.05614788615609883	0.8225806451612904	0.49038461538461536	0.9807692307692307	0.0	0.8360655737704918	0.0	0.9026548672566372	0.551923076923077	0.4480769230769231
O94768_WT	Fold 1	2:10		-0.13483997249264842	0.75	0.45	0.9	0.0	0.8181818181818182	0.0	0.8571428571428572	0.7	0.30000000000000004
O94768_WT	Fold 2	2:10		0.0	0.8333333333333334	0.5	1.0	0.0	0.8333333333333334	0.0	0.9090909090909091	0.25	0.75
O94768_WT	Fold 3	2:10		0.0	0.8333333333333334	0.5	1.0	0.0	0.8333333333333334	0.0	0.9090909090909091	0.65	0.35
O94768_WT	Fold 4	1:10		0.0	0.9090909090909091	0.5	1.0	0.0	0.9090909090909091	0.0	0.9523809523809523	0.8	0.2
O94768_WT	Fold 5	1:10		0.0	0.9090909090909091	0.5	1.0	0.0	0.9090909090909091	0.0	0.9523809523809523	0.8	0.2
O94768_WT	Mean	-		-0.026967994498529685	0.846969696969697	0.49000000000000005	0.9800000000000001	0.0	0.8606060606060606	0.0	0.9160173160173161	0.64	0.36
O94768_WT	SD	-		0.0492365963917331	0.053995544488501385	0.01825741858350553	0.03651483716701106	0.0	0.0364896805417948	0.0	0.03216307466840985	0.1857417562100671	0.18574175621006708
O94768_WT	Test set	17:62		0.0	0.7848101265822784	0.5	1.0	0.0	0.7848101265822784	0.0	0.8794326241134751	0.5635673624288426	0.4364326375711575
O75914_WT		8:0	Only one activity class in traing set for temporal split at 2013										
O75716_WT		4:20	Not enough data in minority class of the training set for all 5 folds										
O75716_WT	Fold 1	2:11		-0.12309149097933272	0.7692307692307693	0.45454545454545453	0.9090909090909091	0.0	0.8333333333333334	0.0	0.8695652173913043	0.36363636363636365	0.6363636363636364
O75716_WT	Fold 2	3:10		0.27247463045653303	0.7692307692307693	0.6166666666666667	0.9	0.3333333333333333	0.8181818181818182	0.5	0.8571428571428572	0.3	0.7
O75716_WT	Fold 3	3:10		0.0	0.7692307692307693	0.5	1.0	0.0	0.7692307692307693	0.0	0.8695652173913044	0.5	0.5
O75716_WT	Fold 4	3:10		0.27247463045653303	0.7692307692307693	0.6166666666666667	0.9	0.3333333333333333	0.8181818181818182	0.5	0.8571428571428572	0.1	0.9
O75716_WT	Fold 5	2:10		-0.31622776601683794	0.5	0.3	0.6	0.0	0.75	0.0	0.6666666666666665	0.8	0.2
O75716_WT	Mean	-		0.021126000783379083	0.7153846153846154	0.49757575757575756	0.8618181818181817	0.13333333333333333	0.7977855477855479	0.2	0.824016563146998	0.4127272727272727	0.5872727272727273
O75716_WT	SD	-		0.2087282220539694	0.09830917698810675	0.10743909372914816	0.12436062374518718	0.14907119849998599	0.029423614963110325	0.22360679774997896	0.07199890327533465	0.21233322737865548	0.21233322737865548
O75716_WT	Test set	4:20		0.0	0.8333333333333334	0.5	1.0	0.0	0.8333333333333334	0.0	0.9090909090909091	0.5874999999999999	0.4125
O75676_WT	Fold 1	4:20		0.674199862463242	0.9166666666666666	0.75	1.0	0.5	0.9090909090909091	1.0	0.9523809523809523	0.11249999999999999	0.8875
O75676_WT	Fold 2	5:19		0.6515837655350015	0.875	0.8473684210526315	0.8947368421052632	0.8	0.9444444444444444	0.6666666666666666	0.918918918918919	0.1789473684210526	0.8210526315789474
O75676_WT	Fold 3	4:19		0.26549712202679576	0.8260869565217391	0.5986842105263157	0.9473684210526315	0.25	0.8571428571428571	0.5	0.9	0.13157894736842105	0.868421052631579
O75676_WT	Fold 4	4:19		0.0	0.8260869565217391	0.5	1.0	0.0	0.8260869565217391	0.0	0.9047619047619047	0.25	0.75
O75676_WT	Fold 5	4:19		0.39473684210526316	0.8260869565217391	0.6973684210526316	0.8947368421052632	0.5	0.8947368421052632	0.5	0.8947368421052632	0.2763157894736842	0.7236842105263158
